Другие направления подготовки;Управление персоналом организации в нефтегазовой отрасли
Другие направления подготовки;Анализ и и прогнозирование добычи углеводородов
Другие направления подготовки;BIM-проектирование нефтегазовых объектов
Другие направления подготовки;Разработка программного обеспечения и автоматизация рутинных процессов
Другие направления подготовки;Интегрированное концептуальное проектирование месторождений (магистратура)
Другие направления подготовки;Инновационные технологии диагностики, строительного контроля и экспертизы промышленной безопасности объектов транспорта и хранения нефти, газа и воды (магистратура)
Другие направления подготовки;Управление проектами строительства и ремонта объектов транспорта и хранения нефти, газа и воды (магистратура)
Другие направления подготовки;Менеджмент
Другие направления подготовки;Стандартизация и метрология
Другие направления подготовки;Бизнес-информатика
Другие направления подготовки;Управление персоналом
Другие направления подготовки;Юриспруденция
Другие направления подготовки;Экономика
Другие направления подготовки;Реклама и связь с общественностью
Другие направления подготовки;"Управление в
технических системах"
Другие направления подготовки;Информационная безопасность
Другие направления подготовки;"Техносферная
безопасность"
